target_coverage,coverage_avg,coverage_std,PICP_sel_avg,PICP_sel_std,MPIW_sel_avg,MPIW_sel_std,RMSE_sel_avg,RMSE_sel_std,PICP_all_avg,PICP_all_std,MPIW_all_avg,MPIW_all_std,RMSE_all_avg,RMSE_all_std,aux_PICP_avg,aux_PICP_std,aux_MPIW_avg,aux_MPIW_std,aux_RMSE_avg,aux_RMSE_std,tau_avg,tau_std
0.8,0.8117,0.0479,0.8192,0.0507,0.7689,0.055,5.1181,0.3378,0.7631,0.028,0.8,0.0421,6.393,0.4451,0.8583,0.0458,0.9729,0.0682,6.0373,0.4249,0.3197,0.3979

minutes_taken,0.934
dataset,concrete
aux_mode,piven
dataset,concrete
h_size,[50]
g_hidden_size,16
c_pi,0.95
alpha,0.5
beta,0.5
beta_h,0.5
lambda_pi,15.0
lambda_sel,32.0
soften,160.0
warmup_frac,0.0
aux_mode,piven
epochs,800
patience,-1
lr,0.005
decay_rate,0.99
sigma_in,0.2
weight_decay,0.0
out_biases,[3.0, -3.0]
n_batch,100
n_runs,5
n_ensemble,1
