metric,avg,std
PICP,0.9401,0.0042
MPIW,2.145,0.0241
RMSE_piven,4.4193,0.0591
RMSE_mid,4.8689,0.0356

minutes_taken,17.707
dataset,protein
n_runs,5
n_ensemble,1
dataset,protein
h_size,[100]
alpha,0.05
epochs,600
patience,-1
lr,0.002
decay_rate,0.999
soften,160.0
lambda_in,40.0
sigma_in,0.2
n_runs,5
